ตำแหน่ง,วิทยฐานะ,ระดับ_ตำแหน่ง,ข้าราชการครูและบุคลากรทางการศึกษา (คน)_ชาย,ข้าราชการครูและบุคลากรทางการศึกษา (คน)_หญิง,ข้าราชการครูและบุคลากรทางการศึกษา (คน)_รวม
1. ผู้อำนวยการโรงเรียน,-,คศ.1,0,0,0
1. ผู้อำนวยการโรงเรียน,ชำนาญการ,คศ.2,0,0,0
1. ผู้อำนวยการโรงเรียน,ชำนาญการพิเศษ,คศ.3,0,1,1
1. ผู้อำนวยการโรงเรียน,เชี่ยวชาญ,คศ.4,0,0,0
1. ผู้อำนวยการโรงเรียน,เชี่ยวชาญพิเศษ,คศ.5,0,0,0
1. ผู้อำนวยการโรงเรียน,รวม,-,0,1,1
2. รองผู้อำนวยการโรงเรียน,-,คศ.1,0,0,0
2. รองผู้อำนวยการโรงเรียน,ชำนาญการ,คศ.2,0,0,0
2. รองผู้อำนวยการโรงเรียน,ชำนาญการพิเศษ,คศ.3,0,0,0
2. รองผู้อำนวยการโรงเรียน,เชี่ยวชาญ,คศ.4,0,0,0
2. รองผู้อำนวยการโรงเรียน,รวม,-,0,0,0
3. ครู,-,คศ.1,0,3,3
3. ครู,ชำนาญการ,คศ.2,0,2,2
3. ครู,ชำนาญการพิเศษ,คศ.3,0,1,1
3. ครู,เชี่ยวชาญ,คศ.4,0,0,0
3. ครู,เชี่ยวชาญพิเศษ,คศ.5,0,0,0
3. ครู,รวม,-,0,6,6
4. ครูผู้ช่วย,-,ครูผู้ช่วย,0,0,0
5. ลูกจ้างประจำ,-,-,0,0,0
6. พนักงานราชการ,-,-,0,0,0
7. ลูกจ้างชั่วคราว,-,-,0,1,1
รวมทั้งหมด,รวมทั้งหมด,รวมทั้งหมด,0,8,8
